Chapter,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,2.5,2.6,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,4.5,4.6,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,6.1,6.2,6.3,6.4,6.5,6.6
1.1A,L,N,L,N,N,M,N,M,N,N,M,N,N,N,N,N,M,M,N,N,N,M,N,N,N,N,N,N,N,M,M,N,M,M,L,N
1.1B,N,L,M,L,N,N,M,M,M,H,N,M,M,N,M,N,L,H,N,M,M,M,N,L,L,M,L,M,H,H,M,H,H,H,,N
1.2,L,M,M,M,L,L,L,L,M,M,L,M,L,H,L,M,M,M,H,M,M,M,H,H,M,H,M,L,M,L,M,H,M,M,M,N
1.3,L,L,M,L,N,N,N,M,L,L,N,N,N,M,L,L,L,M,M,L,M,N,M,L,M,M,M,L,L,M,N,L,N,L,L,N
1.4,L,L,L,L,L,L,L,L,L,L,M,H,M,L,L,L,M,L,L,H,L,L,L,M,L,L,L,L,L,L,L,L,L,M,L,L
1.5A,N,N,N,N,M,L,L,M,M,L,H,L,L,M,M,M,M,H,M,M,L,M,M,M,M,H,M,H,H,H,M,M,M,M,M,M
1.5B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1.6,L,M,L,M,L,L,M,L,L,L,L,L,L,L,M,L,L,M,H,M,M,M,H,M,M,H,H,H,M,M,M,M,L,M,M,M
1.7A,M,N,N,M,L,M,N,L,L,N,L,M,N,L,L,M,M,M,H,M,L,N,L,M,M,M,L,L,L,L,M,L,L,L,L,H
1.7B,N,N,M,L,N,H,M,L,M,H,H,H,M,M,L,H,L,M,L,M,L,L,H,H,M,M,H,M,H,H,H,H,L,H,M,M
2.1,N,N,M,M,L,L,L,L,M,M,M,L,L,M,L,L,H,M,L,M,L,L,M,M,L,M,H,M,M,M,N,N,L,N,N,N
2.2,L,N,L,M,N,L,N,N,L,N,M,L,N,M,N,N,H,L,H,M,N,L,H,M,N,L,H,L,M,L,N,M,N,N,N,L
2.3,M,M,M,M,M,M,M,M,M,M,H,M,M,M,M,M,H,H,H,H,H,H,H,H,H,M,M,H,H,M,M,M,M,L,M,L
2.4,M,L,L,M,L,N,N,L,M,M,M,L,N,M,L,L,N,N,H,L,N,L,H,L,M,H,H,L,M,M,N,L,M,M,M,M
2.5,L,L,L,L,L,L,L,L,M,L,L,L,L,L,L,L,L,M,M,L,L,L,M,L,L,L,M,L,L,L,L,L,L,L,L,L
2.6,N,N,N,N,N,N,N,N,N,H,L,L,L,M,L,L,M,M,H,M,M,L,M,M,L,M,H,M,M,M,L,L,M,L,L,L
2.7,H,L,H,L,M,M,N,M,L,L,H,L,M,M,L,M,M,L,M,H,N,N,M,H,L,M,L,N,L,L,M,M,L,L,M,L
2.8,L,L,L,L,L,L,M,M,L,L,L,L,L,L,L,L,H,H,H,H,M,H,M,M,M,M,H,M,M,M,H,H,H,N,H,H
2.9,N,N,L,N,N,N,N,N,L,M,N,N,N,M,N,L,H,H,H,H,L,M,L,N,N,N,L,N,N,N,N,L,M,N,N,M
3.1A,N,N,N,N,L,L,N,L,N,N,N,N,N,N,N,M,M,M,L,L,H,L,H,M,L,M,M,H,M,M,M,H,L,L,L,M
3.1B,N,N,N,N,L,L,M,L,L,L,N,N,N,N,N,H,L,M,L,L,H,L,M,L,L,L,L,H,M,M,H,H,M,L,M,H
3.1C,N,N,N,N,M,M,L,M,H,M,N,M,N,N,N,H,M,M,L,H,H,L,H,M,M,M,M,H,H,H,M,H,M,M,M,H
3.2,N,N,N,N,L,M,L,L,L,L,L,H,M,L,L,L,L,M,L,L,L,L,H,M,M,M,M,M,L,M,M,L,L,M,M,L
3.3,N,N,N,N,N,N,N,N,N,N,M,M,H,H,M,M,M,M,M,M,M,M,H,M,M,M,H,H,H,H,H,H,M,H,H,H
3.4,N,N,N,N,N,N,N,N,L,L,M,M,H,H,L,H,M,L,L,H,H,L,M,L,N,M,L,L,M,L,H,M,L,L,L,M
3.5,N,N,H,M,N,N,M,M,H,H,M,M,H,H,H,M,N,N,M,N,M,N,M,M,L,M,M,M,M,M,L,L,M,H,M,L
3.6,N,N,N,N,L,L,L,L,L,L,M,H,M,M,M,H,M,M,M,H,M,M,H,M,M,M,H,H,H,H,H,H,H,H,H,H
3.7,N,N,N,L,N,N,L,L,L,L,L,L,M,L,L,H,L,L,L,L,L,L,L,L,L,L,M,L,M,M,L,M,H,L,L,L
3.8,L,N,N,N,L,M,M,L,M,M,M,H,H,M,M,L,M,H,M,H,M,L,H,H,M,M,H,H,H,H,H,H,M,M,M,M
3.9,N,N,M,L,N,N,N,L,L,H,L,H,H,H,L,H,L,L,L,M,M,M,M,L,L,L,M,M,H,M,L,H,M,H,H,M
3.10,N,N,N,N,L,L,M,M,L,L,M,M,M,M,M,H,H,H,H,H,H,M,M,M,L,M,L,M,M,M,H,H,L,L,M,H
