target_key,target_type,canonical_url,occurrences,distinct_titles,distinct_chapters,titles,chapters,files,needs_scope_review
youtube:video:eMlx5fFNoYc,youtube_video,https://www.youtube.com/watch?v=eMlx5fFNoYc,9,5,9,"Attention in Transformers | Attention in Transformers - 3Blue1Brown | Attention in Transformers - Visual Explanation | Attention in Transformers, Visually Explained | Attention in transformers, step-by-step","Chapter 1.4 - Memory & Perception | Chapter 3.10 - Efficiency Metrics | Chapter 3.5 - Prompt Optimization, Few-Shot Learning, and Fine-Tuning | Chapter 3.9 - Reasoning Quality | Chapter 5.1 - Chain-of-Thought | Chapter 5.3 - Self-Consistency | Chapter 5.9 - Working Memory | Chapter 6.6A - Reranking Implementation | Chapter 7.4: Quantization Fundamentals",Part_01_YoutubeVideos.md | Part_03_YoutubeVideos.md | Part_05_YoutubeVideos.md | Part_06_YoutubeVideos.md | Part_07_YoutubeVideos.md,True
youtube:video:sVcwVQRHIc8,youtube_video,https://www.youtube.com/watch?v=sVcwVQRHIc8,8,4,8,Learn RAG From Scratch - Python AI Tutorial from a LangChain Engineer | Learn RAG from Scratch | RAG From Scratch - Complete Course | RAG from Scratch,Chapter 1.7A - Knowledge Graphs | Chapter 2.7 - Multimodal RAG | Chapter 3.1B - Grounding in External Knowledge | Chapter 5.13 - Hybrid Decision Systems | Chapter 5.7 - Episodic Memory | Chapter 5.8 - Semantic Memory | Chapter 6.1 - RAG Chunking | Chapter 6.5 - Production RAG,Part_01_YoutubeVideos.md | Part_02_YoutubeVideos.md | Part_03_YoutubeVideos.md | Part_05_YoutubeVideos.md | Part_06_YoutubeVideos.md,True
youtube:video:aircAruvnKk,youtube_video,https://www.youtube.com/watch?v=aircAruvnKk,5,1,5,But what is a Neural Network?,Chapter 1.1A - UI Foundations | Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command | Chapter 5.1 - Chain-of-Thought | Chapter 5.12 - Learning-Based Decision Making | Chapter 5.2 - Tree-of-Thought,Part_01_YoutubeVideos.md | Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md,False
youtube:video:kCc8FmEb1nY,youtube_video,https://www.youtube.com/watch?v=kCc8FmEb1nY,5,4,5,"Let's Build GPT | Let's Build GPT from Scratch - Andrej Karpathy | Let's Build GPT: From Scratch, in Code, Spelled Out | Let's build GPT: from scratch, in code, spelled out",Chapter 3.10 - Efficiency Metrics | Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command | Chapter 5.3 - Self-Consistency | Chapter 5.9 - Working Memory | Chapter 7.4: Quantization Fundamentals,Part_03_YoutubeVideos.md | Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md | Part_07_YoutubeVideos.md,True
youtube:video:7xTGNNLPyMI,youtube_video,https://www.youtube.com/watch?v=7xTGNNLPyMI,4,2,4,Deep Dive into LLMs | Deep Dive into LLMs like ChatGPT,Chapter 10.4: Human in the Loop | Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command | Chapter 5.2 - Tree-of-Thought | Chapter 5.9 - Working Memory,Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md | Part_10_YoutubeVideos.md,True
youtube:video:X48VuDVv0do,youtube_video,https://www.youtube.com/watch?v=X48VuDVv0do,4,3,4,Kubernetes Tutorial for Beginners | Kubernetes Tutorial for Beginners (4 Hours) | Kubernetes Tutorial for Beginners [FULL COURSE in 4 Hours],Chapter 4.1 - AI Agent Deployment and Scaling | Chapter 4.3 - Container Orchestration and Edge Deployment | Chapter 4.7 - Scaling Strategies | Chapter 9.3: Sandboxing and Isolation,Part_04_YoutubeVideos.md | Part_09_YoutubeVideos.md,True
youtube:video:hvAPnpSfSGo,youtube_video,https://www.youtube.com/watch?v=hvAPnpSfSGo,4,3,4,LangGraph Multi-Agent Collaboration | LangGraph Multi-Agent Workflows | Multi-Agent Collaboration with LangGraph,Chapter 1.3 - Multi-Agent Systems | Chapter 1.6 - Orchestration Pitfalls | Chapter 2.4 - Multi-Agent Frameworks | Chapter 5.1 - Chain-of-Thought,Part_01_YoutubeVideos.md | Part_02_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:zjkBMFhNj_g,youtube_video,https://www.youtube.com/watch?v=zjkBMFhNj_g,4,2,4,Intro to LLMs | Intro to Large Language Models,Chapter 1.1A - UI Foundations | Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command | Chapter 5.1 - Chain-of-Thought | Chapter 5.3 - Self-Consistency,Part_01_YoutubeVideos.md | Part_04_YoutubeVideos.md | Part_05_YoutubeVideos.md,True
youtube:video:2pWv7GOvuf0,youtube_video,https://www.youtube.com/watch?v=2pWv7GOvuf0,3,2,3,David Silver Lecture 1 | David Silver RL Lecture 1,Chapter 5.10 - Utility-Based Decision Making | Chapter 5.12 - Learning-Based Decision Making | Chapter 5.5 - Monte Carlo Tree Search,Part_05_YoutubeVideos.md,True
youtube:video:5ftMMBj6xj0,youtube_video,https://www.youtube.com/watch?v=5ftMMBj6xj0,3,3,3,TensorRT-LLM Livestream - DeepSeek R1 | TensorRT-LLM Livestream: DeepSeek R1 | TensorRT-LLM Livestream: DeepSeek R1 Performance Optimization,Chapter 4.4 - Performance Profiling and Optimization | Chapter 4.5 - NVIDIA NIM and Triton Inference Server | Chapter 4.6 - TensorRT-LLM and NVIDIA Fleet Command,Part_04_YoutubeVideos.md,True
