resource_id,file,part,chapter,title,provider,covers,source_line,internal_exact_match_count,internal_exact_match_urls,internal_exact_match_chapters
VR-FFFB4F10878D3B70,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,NVIDIA NeMo Guardrails - Full Walkthrough,,Comprehensive guardrails implementation and architecture,24,0,,
VR-545B8C529BD5C8C4,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,Building Trustworthy AI with NeMo Guardrails,Data Science Dojo,Live demonstration of guardrails in production,28,0,,
VR-A67ED10CB77E8104,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,Deploying LLMs With Triton Inference Server,GTC 2024,Batching strategies and multi-GPU optimization,32,0,,
VR-CBF9AFDD62FDE266,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,AlignScore for Factual Consistency,ACL 2023,Fact checking methodology and hallucination prevention,36,0,,
VR-6E21D71363054D56,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,PyTorch Conference 2025 - Tensor Parallelism Sessions,,Multi-GPU strategies and tensor parallelism techniques,40,0,,
VR-78D11F838B9D4603,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,NeMo Agent Toolkit Overview,,Framework architecture and agent deployment,43,0,,
VR-2A08698377FF5409,Part_07_YoutubeVideos.md,7,Chapter 7.1A: NeMo Framework and Six Rails,NeMo Open Source Toolkit,,Production deployment patterns and best practices,46,0,,
VR-FB2D953D39E43316,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,NeMo Guardrails Full Walkthrough,,Colang DSL implementation patterns and security,57,0,,
VR-EFB92F14D0937EAF,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,Advanced Guardrails for AI Agents,,"Security patterns, defense-in-depth strategies, and best practices",61,0,,
VR-CFC02062A2BDBD5E,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,Building Trustworthy AI with Guardrails,,Live guardrails demonstration and production patterns,65,0,,
VR-1BA062019590533F,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,Prompt Injection & Jailbreaking Demo,Donato Capitella,Security vulnerabilities and defense mechanisms,69,0,,
VR-9C6FB00D8ACE409C,Part_07_YoutubeVideos.md,7,Chapter 7.1B: Colang DSL and NIM Integration,Microservices Full Course,,Wrapper patterns and modular architecture design,73,0,,
