file,chapter,entry,status,reviewed_on,current_url,previous_url,issue,candidate_title,candidate_url,candidate_confidence,recommended_action,evidence_url
Part_01_YoutubeVideos.md,Chapter 1.3 - Multi-Agent Systems,Ballerina gRPC Service - Simple RPC,resolved_official_replacement,2026-07-28,https://ballerina.io/learn/by-example/grpc-service-simple/,https://www.youtube.com/watch?v=Kk4tbN8FcZ4,The previous video was an installation/setup resource rather than the described gRPC introduction.,Ballerina gRPC Service - Simple RPC,https://ballerina.io/learn/by-example/grpc-service-simple/,high,Keep the official Ballerina example unless a verified video is specifically required.,https://ballerina.io/learn/by-example/grpc-service-simple/
Part_01_YoutubeVideos.md,Chapter 1.6 - Orchestration Pitfalls,LangGraph Persistence,resolved_official_replacement,2026-07-28,https://docs.langchain.com/oss/python/langgraph/persistence,https://www.youtube.com/watch?v=GMaGG8UBek8,"The same prior video ID was reused under three incompatible descriptions, so the intended target could not be trusted.",LangGraph Persistence,https://docs.langchain.com/oss/python/langgraph/persistence,high,Keep the official persistence documentation as the canonical reference.,https://docs.langchain.com/oss/python/langgraph/persistence
Part_02_YoutubeVideos.md,Chapter 2.2 - LangGraph,LangChain Short-Term Memory,resolved_official_replacement,2026-07-28,https://docs.langchain.com/oss/python/langchain/short-term-memory,https://www.youtube.com/watch?v=GMaGG8UBek8,"The same prior video ID was reused under three incompatible descriptions, including short-term memory.",LangChain Short-Term Memory,https://docs.langchain.com/oss/python/langchain/short-term-memory,high,Keep the official short-term-memory documentation as the canonical reference.,https://docs.langchain.com/oss/python/langchain/short-term-memory
Part_02_YoutubeVideos.md,Chapter 2.6 - Tool Integration,LangChain Tools,resolved_official_replacement,2026-07-28,https://docs.langchain.com/oss/python/langchain/tools,https://www.youtube.com/watch?v=2xxziIWmaSA,The previous target was a broad LangChain cookbook rather than a focused tool-integration tutorial.,LangChain Tools,https://docs.langchain.com/oss/python/langchain/tools,high,Keep the official tools documentation as the canonical reference.,https://docs.langchain.com/oss/python/langchain/tools
Part_02_YoutubeVideos.md,Chapter 2.8 - Error Handling,LangGraph Fault Tolerance,resolved_official_replacement,2026-07-28,https://docs.langchain.com/oss/python/langgraph/fault-tolerance,https://www.youtube.com/watch?v=5h-JBkySK34,"The previous target was a general LangGraph resource, not the described error-handling tutorial.",LangGraph Fault Tolerance,https://docs.langchain.com/oss/python/langgraph/fault-tolerance,high,Keep the official fault-tolerance documentation as the canonical reference.,https://docs.langchain.com/oss/python/langgraph/fault-tolerance
Part_02_YoutubeVideos.md,Chapter 2.8 - Error Handling,LangGraph Persistence and Recovery,resolved_official_replacement,2026-07-28,https://docs.langchain.com/oss/python/langgraph/persistence,https://www.youtube.com/watch?v=GMaGG8UBek8,"The same prior video ID was reused under three incompatible descriptions, including error recovery.",LangGraph Persistence,https://docs.langchain.com/oss/python/langgraph/persistence,high,Keep the official persistence and recovery reference.,https://docs.langchain.com/oss/python/langgraph/persistence
Part_02_YoutubeVideos.md,Chapter 2.9 - Streaming,LangChain Streaming,resolved_official_replacement,2026-07-28,https://docs.langchain.com/oss/python/langchain/streaming,https://www.youtube.com/watch?v=jGg_1h0qzaM,The previous target was a full LangGraph course rather than a focused streaming tutorial.,LangChain Streaming,https://docs.langchain.com/oss/python/langchain/streaming,high,Keep the official streaming documentation as the canonical reference.,https://docs.langchain.com/oss/python/langchain/streaming
Part_03_YoutubeVideos.md,Chapter 3.1A - Hallucination Detection,Detecting Hallucinations in Large Language Models Using Semantic Entropy,review_required,2026-07-28,https://www.youtube.com/watch?v=15I5rna-gag,,No reliable current or archived metadata trail was recovered for the assigned video ID.,Detecting Hallucinations in Large Language Models Using Semantic Entropy (paper),https://www.nature.com/articles/s41586-024-07421-0,high,Use the primary paper as a documented fallback; retain the video only after its title and publisher are manually verified.,https://www.nature.com/articles/s41586-024-07421-0
Part_03_YoutubeVideos.md,Chapter 3.1A - Hallucination Detection,Introduction to RAG (Retrieval-Augmented Generation) | LlamaIndex,review_required,2026-07-28,https://www.youtube.com/watch?v=A4U5CwcXr0I,,No reliable current or archived metadata trail was recovered for the assigned video ID.,LlamaIndex: Building a RAG pipeline,https://developers.llamaindex.ai/python/framework/understanding/rag/,medium,Use the official LlamaIndex RAG guide as a fallback; verify the existing video ID before retaining it.,https://developers.llamaindex.ai/python/framework/understanding/rag/
Part_03_YoutubeVideos.md,Chapter 3.1C - Multi-Modal Evaluation,Evaluating Audio Transcription Quality,review_required,2026-07-28,https://www.youtube.com/watch?v=mRB8tbTkkrA,,No reliable current or archived metadata trail was recovered for the assigned video ID.,Word Error Rate metric,https://huggingface.co/spaces/evaluate-metric/wer,medium,Use the WER metric reference as a fallback; locate a verified instructional video only if video format is required.,https://huggingface.co/spaces/evaluate-metric/wer
