priority,resource_id,file,chapter,title,current_url,issue,candidate_title,candidate_url,candidate_confidence,recommended_action,internal_exact_match_count,internal_exact_match_urls
1_linked_target_unverified,VR-45044F519BC94966,Part_03_YoutubeVideos.md,Chapter 3.1A - Hallucination Detection,Detecting Hallucinations in Large Language Models Using Semantic Entropy,https://www.youtube.com/watch?v=15I5rna-gag,No reliable current or archived metadata trail was recovered for the assigned video ID.,Detecting Hallucinations in Large Language Models Using Semantic Entropy (paper),https://www.nature.com/articles/s41586-024-07421-0,high,Use the primary paper as a documented fallback; retain the video only after its title and publisher are manually verified.,,
1_linked_target_unverified,VR-292B0DDF20EF5867,Part_03_YoutubeVideos.md,Chapter 3.1A - Hallucination Detection,Introduction to RAG (Retrieval-Augmented Generation) | LlamaIndex,https://www.youtube.com/watch?v=A4U5CwcXr0I,No reliable current or archived metadata trail was recovered for the assigned video ID.,LlamaIndex: Building a RAG pipeline,https://developers.llamaindex.ai/python/framework/understanding/rag/,medium,Use the official LlamaIndex RAG guide as a fallback; verify the existing video ID before retaining it.,,
1_linked_target_unverified,VR-91D6BDF4A8D81BFF,Part_03_YoutubeVideos.md,Chapter 3.1C - Multi-Modal Evaluation,Visual Question Answering with Vision Transformers,https://www.youtube.com/watch?v=5tW3y7lm7V0,No reliable current or archived metadata trail was recovered for the assigned video ID.,Visual Question Answering with ViLT,https://huggingface.co/docs/transformers/tasks/visual_question_answering,high,The official guide is topic-correct but not evidence that this video ID is correct; verify or replace editorially.,,
1_linked_target_unverified,VR-E46E8EA4DE4C65F9,Part_03_YoutubeVideos.md,Chapter 3.1C - Multi-Modal Evaluation,Evaluating Audio Transcription Quality,https://www.youtube.com/watch?v=mRB8tbTkkrA,No reliable current or archived metadata trail was recovered for the assigned video ID.,Word Error Rate metric,https://huggingface.co/spaces/evaluate-metric/wer,medium,Use the WER metric reference as a fallback; locate a verified instructional video only if video format is required.,,
1_linked_target_unverified,VR-50FC61833C94CFAF,Part_03_YoutubeVideos.md,Chapter 3.6 - Agent Benchmarking Frameworks,AgentBench - Benchmarking LLMs as Agents,https://www.youtube.com/watch?v=lREQzTVJbIY,No reliable current or archived metadata trail was recovered for the assigned video ID.,AgentBench official repository,https://github.com/THUDM/AgentBench,high,Use the official project repository as a fallback; do not claim the current video is canonical without verification.,,
1_linked_target_unverified,VR-CDE985F3A9F7D8CC,Part_03_YoutubeVideos.md,Chapter 3.6 - Agent Benchmarking Frameworks,Evaluating Code Generation with HumanEval,https://www.youtube.com/watch?v=i8wpLm2j0I0,No reliable current or archived metadata trail was recovered for the assigned video ID.,OpenAI HumanEval,https://github.com/openai/human-eval,high,Use the primary repository as a fallback and verify any replacement video independently.,,
1_linked_target_unverified,VR-D56041CC74EE77DD,Part_03_YoutubeVideos.md,Chapter 3.6 - Agent Benchmarking Frameworks,Evaluating Tool Use in Language Models,https://www.youtube.com/watch?v=kqm8pNGX96k,No reliable current or archived metadata trail was recovered for the assigned video ID.,Berkeley Function-Calling Leaderboard,https://gorilla.cs.berkeley.edu/leaderboard.html,medium,BFCL is a strong current evaluation reference but is not proof of the intended video; require editorial review.,,
1_linked_target_unverified,VR-9B6840F245A276AA,Part_03_YoutubeVideos.md,Chapter 3.6 - Agent Benchmarking Frameworks,Multi-Task Evaluation of Language Models,https://www.youtube.com/watch?v=gEZrGsRMK4k,No reliable current or archived metadata trail was recovered for the assigned video ID.,BIG-bench,https://github.com/google/BIG-bench,medium,"The heading could refer to BIG-bench, HELM, or general benchmark design; disambiguate before replacing.",,
1_linked_target_unverified,VR-506ED7DB691B037C,Part_04_YoutubeVideos.md,Chapter 4.1 - AI Agent Deployment and Scaling,Kong Gateway Microservice Architecture,https://www.youtube.com/watch?v=qJYWpRuoBx8,No reliable current or archived metadata trail was recovered for the assigned video ID.,Kong Gateway documentation,https://developer.konghq.com/gateway/,high,Use official Kong Gateway documentation as a fallback and verify the existing video ID before publishing.,,
1_linked_target_unverified,VR-3F253125213030C3,Part_04_YoutubeVideos.md,Chapter 4.1 - AI Agent Deployment and Scaling,Kong Your Way into the New Year: An Introduction to API Gateway,https://www.youtube.com/watch?v=xjBavX0JFGk,No reliable current or archived metadata trail was recovered for the assigned video ID.,What is an API gateway?,https://konghq.com/blog/learning-center/what-is-an-api-gateway,medium,The official overview is topic-correct but may not be the intended conference video; require manual verification.,,
