resource_id,file,part,chapter,chapter_topics,entry_order_in_chapter,entry_order_in_file,title,has_url,url,canonical_url,target_type,target_key,youtube_id,duration_text,has_duration,provider,covers,source_line,status,reviewed_on,issue,candidate_title,candidate_url,candidate_confidence,recommended_action,target_occurrences,target_distinct_titles,target_distinct_chapters
VR-E2CDD7DD0B80DB61,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",1,1,Progressive Disclosure,True,https://www.nngroup.com/videos/progressive-disclosure/,https://www.nngroup.com/videos/progressive-disclosure/,web,nngroup.com/videos/progressive-disclosure,,~8 minutes,True,,"Progressive disclosure pattern, information layering, essential vs advanced views, cognitive load management",25,assigned,,,,,,,1,1,1
VR-CDA3FCB9741DB8DA,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",2,2,Managing Visual Complexity in Applications and Websites,True,https://www.nngroup.com/videos/managing-visual-complexity/,https://www.nngroup.com/videos/managing-visual-complexity/,web,nngroup.com/videos/managing-visual-complexity,,~10 minutes,True,,"UI complexity reduction, information architecture, clarity in design, cognitive load",29,assigned,,,,,,,1,1,1
VR-6F3075BAE223504B,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",3,3,Principles of Human-Centered Design,True,https://www.nngroup.com/videos/principles-human-centered-design-don-norman/,https://www.nngroup.com/videos/principles-human-centered-design-don-norman/,web,nngroup.com/videos/principles-human-centered-design-don-norman,,~15 minutes,True,,"Human-centered design principles, user mental models, feedback, control, transparency",34,assigned,,,,,,,1,1,1
VR-C5709AB61483CE40,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",4,4,But what is a Neural Network?,True,https://www.youtube.com/watch?v=aircAruvnKk,https://www.youtube.com/watch?v=aircAruvnKk,youtube_video,youtube:video:aircAruvnKk,aircAruvnKk,~19 minutes,True,,"Neural network fundamentals, understanding AI decision-making, building trust through transparency",38,assigned,,,,,,,5,1,5
VR-65E077E40C40B5CD,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",5,5,Intro to Large Language Models,True,https://www.youtube.com/watch?v=zjkBMFhNj_g,https://www.youtube.com/watch?v=zjkBMFhNj_g,youtube_video,youtube:video:zjkBMFhNj_g,zjkBMFhNj_g,~60 minutes,True,,"LLM architecture, context windows, training, finetuning fundamentals",42,assigned,,,,,,,4,2,4
VR-384C2DB20E028F7F,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",6,6,Lex Fridman Podcast #367 - Sam Altman,True,https://www.youtube.com/watch?v=L_Guz73e6fw,https://www.youtube.com/watch?v=L_Guz73e6fw,youtube_video,youtube:video:L_Guz73e6fw,L_Guz73e6fw,~2 hours 25 minutes,True,,"OpenAI, GPT-4, AI safety and alignment, governance, and the future of AI",46,assigned,,,,,,,1,1,1
VR-480396C4ADAE0BAA,Part_01_YoutubeVideos.md,1,Chapter 1.1A - UI Foundations,"Agent UI Design, Transparency, Progressive Disclosure, Human-in-the-Loop, Conversational Interfaces, Trust in AI",7,7,Google's 9 Hour AI Prompt Engineering Course in 20 Minutes,True,https://www.youtube.com/watch?v=p09yRj47kNM,https://www.youtube.com/watch?v=p09yRj47kNM,youtube_video,youtube:video:p09yRj47kNM,p09yRj47kNM,~20 minutes,True,,Prompt-engineering concepts and techniques condensed from a longer course; not an agent-coordination tutorial,50,assigned,,,,,,,1,1,1
VR-371F523A194440AF,Part_01_YoutubeVideos.md,1,Chapter 1.1B - Accessibility & HITL Patterns,"HITL patterns, WCAG accessibility, screen readers, ARIA, keyboard navigation",1,8,Introduction to Web Accessibility and W3C Standards,True,https://www.youtube.com/watch?v=20SHvU2PKsM,https://www.youtube.com/watch?v=20SHvU2PKsM,youtube_video,youtube:video:20SHvU2PKsM,20SHvU2PKsM,~4 minutes,True,,"WCAG introduction, accessibility fundamentals",61,assigned,,,,,,,1,1,1
VR-DBC0CBD9BEBE6D0A,Part_01_YoutubeVideos.md,1,Chapter 1.1B - Accessibility & HITL Patterns,"HITL patterns, WCAG accessibility, screen readers, ARIA, keyboard navigation",2,9,Web Accessibility Perspectives - Compilation,True,https://www.youtube.com/watch?v=3f31oufqFSM,https://www.youtube.com/watch?v=3f31oufqFSM,youtube_video,youtube:video:3f31oufqFSM,3f31oufqFSM,~8 minutes,True,,"Real-world accessibility benefits, keyboard navigation, voice recognition",65,assigned,,,,,,,1,1,1
VR-9DAD5A500374005D,Part_01_YoutubeVideos.md,1,Chapter 1.1B - Accessibility & HITL Patterns,"HITL patterns, WCAG accessibility, screen readers, ARIA, keyboard navigation",3,10,Semantic HTML and Accessibility,True,https://www.youtube.com/watch?v=qSNUi7pRmWg,https://www.youtube.com/watch?v=qSNUi7pRmWg,youtube_video,youtube:video:qSNUi7pRmWg,qSNUi7pRmWg,~25 minutes,True,,"Semantic HTML, screen reader compatibility, proper heading hierarchy",69,assigned,,,,,,,1,1,1
VR-49755AE297C64BD4,Part_01_YoutubeVideos.md,1,Chapter 1.1B - Accessibility & HITL Patterns,"HITL patterns, WCAG accessibility, screen readers, ARIA, keyboard navigation",4,11,I Made a BIG Mistake - Kevin Powell,True,https://www.youtube.com/watch?v=YAqRQoN8ykI,https://www.youtube.com/watch?v=YAqRQoN8ykI,youtube_video,youtube:video:YAqRQoN8ykI,YAqRQoN8ykI,,False,,"Accessible buttons and navigation, semantic HTML, visually hidden content, and corrections to earlier accessibility patterns",73,assigned,,,,,,,1,1,1
VR-52DE7E2DACF6E661,Part_01_YoutubeVideos.md,1,Chapter 1.1B - Accessibility & HITL Patterns,"HITL patterns, WCAG accessibility, screen readers, ARIA, keyboard navigation",5,12,Colors with Good Contrast,True,https://www.youtube.com/watch?v=Hui87z2Vx8o,https://www.youtube.com/watch?v=Hui87z2Vx8o,youtube_video,youtube:video:Hui87z2Vx8o,Hui87z2Vx8o,~1 minute,True,,A concise introduction to readable color contrast for accessible interfaces,77,assigned,,,,,,,1,1,1
VR-034FB7C7A99DAB3F,Part_01_YoutubeVideos.md,1,Chapter 1.2 - Core Patterns,"ReAct Pattern, Plan-and-Execute, Reflection Pattern, Tool-Use Architecture",1,13,What's next for AI agentic workflows (Andrew Ng),True,https://www.youtube.com/watch?v=sal78ACtGTc,https://www.youtube.com/watch?v=sal78ACtGTc,youtube_video,youtube:video:sal78ACtGTc,sal78ACtGTc,~12 minutes,True,,"Four key agentic patterns overview, current state of AI agents",88,assigned,,,,,,,3,2,3
VR-17989709D4DC777B,Part_01_YoutubeVideos.md,1,Chapter 1.2 - Core Patterns,"ReAct Pattern, Plan-and-Execute, Reflection Pattern, Tool-Use Architecture",2,14,LangChain Crash Course for Beginners - codebasics,True,https://www.youtube.com/watch?v=nAmC7SoVLd8,https://www.youtube.com/watch?v=nAmC7SoVLd8,youtube_video,youtube:video:nAmC7SoVLd8,nAmC7SoVLd8,~45 minutes,True,,"LangChain fundamentals, chains, sequential chains, and introductory agent concepts",92,assigned,,,,,,,1,1,1
VR-A41DCD7821BC6B15,Part_01_YoutubeVideos.md,1,Chapter 1.2 - Core Patterns,"ReAct Pattern, Plan-and-Execute, Reflection Pattern, Tool-Use Architecture",3,15,LangChain ReAct Voice Agent Tutorial,True,https://www.youtube.com/watch?v=TdZtr1nrhJg,https://www.youtube.com/watch?v=TdZtr1nrhJg,youtube_video,youtube:video:TdZtr1nrhJg,TdZtr1nrhJg,~25 minutes,True,,"ReAct pattern implementation with OpenAI Realtime API, voice agent interactions",96,assigned,,,,,,,1,1,1
